ACTIVITY;IPCC_SECTOR;IPCC_DIVISION;IPCC_CLASS;IPCC_SUBCLASS;IPCC_ACTIVITY;IPCC_SUBACTIVITY;DESCRIPTION
4B23s;4;B;2;3;s;;Wetlands converted to Cropland (Carbon stock change)
4B23(V);4;B;2;3;(V);;Wetlands converted to Cropland (Biomass burning)
4B23(V)c;4;B;2;3;(V);c;Wetlands converted to Cropland (Biomass burning-Controlled)
4B23(V)w;4;B;2;3;(V);w;Wetlands converted to Cropland (Biomass burning-Wild)
4B24;4;B;2;4;;;Settlements converted to Cropland
4B24(III);4;B;2;4;(III);;Settlements converted to Cropland (Direct N2O mineralization)
4B24(IV);4;B;2;4;(IV);;Settlements converted to Cropland (Indirect N2O leaching)
4B24s;4;B;2;4;s;;Settlements converted to Cropland (Carbon stock change)
4B24(V);4;B;2;4;(V);;Settlements converted to Cropland (Biomass burning)
4B24(V)c;4;B;2;4;(V);c;Settlements converted to Cropland (Biomass burning-Controlled)
4B24(V)w;4;B;2;4;(V);w;Settlements converted to Cropland (Biomass burning-Wild)
4B25;4;B;2;5;;;Other land converted to Cropland
4B25(III);4;B;2;5;(III);;Other land converted to Cropland (Direct N2O mineralization)
4B25(IV);4;B;2;5;(IV);;Other land converted to Cropland (Indirect N2O leaching)
4B25s;4;B;2;5;s;;Other land converted to Cropland (Carbon stock change)
4B25(V);4;B;2;5;(V);;Other land converted to Cropland (Biomass burning)
4B25(V)c;4;B;2;5;(V);c;Other land converted to Cropland (Biomass burning-Controlled)
4B25(V)w;4;B;2;5;(V);w;Other land converted to Cropland (Biomass burning-Wild)
4C;4;C;;;;;Grassland
4C1;4;C;1;;;;Grassland remaining Grassland
4C11;4;C;1;1;;;Grassland remaining Grassland (subclase auxiliar)
4C11(III);4;C;1;1;(III);;Grassland remaining Grassland (Direct N2O mineralization)
4C11(IV);4;C;1;1;(IV);;Grassland remaining Grassland (Indirect N2O leaching)
4C11s;4;C;1;1;s;;Grassland remaining Grassland (Carbon stock change)
4C11(V);4;C;1;1;(V);;Grassland remaining Grassland (Biomass burning)
4C11(V)c;4;C;1;1;(V);c;Grassland remaining Grassland (Biomass burning-Controlled)
4C11(V)w;4;C;1;1;(V);w;Grassland remaining Grassland (Biomass burning-Wild)
4C2;4;C;2;;;;Land converted to Grassland
4C20(III);4;C;2;0;(III);;Land converted to Grassland (Direct N2O mineralization)
4C20(V)w;4;C;2;0;(V);w;Land converted to Grassland (Biomass burning-Wild)
4C21;4;C;2;1;;;Forest land converted to Grassland
4C21(III);4;C;2;1;(III);;Forest land converted to Grassland (Direct N2O mineralization)
4C21(IV);4;C;2;1;(IV);;Forest land converted to Grassland (Indirect N2O leaching)
4C21s;4;C;2;1;s;;Forest land converted to Grassland (Carbon stock change)
4C21(V);4;C;2;1;(V);;Forest land converted to Grassland (Biomass burning)
4C21(V)c;4;C;2;1;(V);c;Forest land converted to Grassland (Biomass burning-Controlled)
